,discoverymethod,pl_masse,pl_name,pl_orbper,pl_rade
1747,Transit,,Kepler-352 d,6.88727999,0.806
1748,Transit,,Kepler-1311 b,11.1726994,1.24
1749,Transit,,Kepler-1672 b,150.878,2.97
1750,Transit,,Kepler-1771 b,88.64399719,4.055
1751,Transit,,Kepler-1677 b,22.064,2.702
1752,Transit,,Kepler-1321 d,5.72092009,2.628
1753,Transit,,Kepler-1698 b,1.2107,1.073
1754,Transit,,Kepler-1828 b,10.2737999,2.116
1755,Transit,,Kepler-1667 b,83.5781,2.984
1756,Transit,,Kepler-1675 b,63.0382,3.125
1757,Transit,3.8,Kepler-107 b,3.1800218,1.536
1758,Transit,3.9,Kepler-323 b,1.678328,1.381
1759,Transit,2.4,Kepler-1876 b,6.99205,0.853
1760,Transit,4.3,K2-36 b,1.422614,1.43
1761,Transit,7.7,K2-38 b,4.01593,1.655
1762,Transit,7.4,K2-38 c,10.56103,2.49
1763,Transit,15.9,K2-110 b,13.86375,2.592
1764,Transit,5.58,K2-111 b,5.3518,1.82
1765,Transit,6.5,K2-167 b,9.97748,2.3
1766,Transit,8.7,K2-222 b,15.38857,2.35
1767,Transit,5.72,HD 80653 b,0.719573,1.613
1768,Radial Velocity,,L 363-38 b,8.781,
1769,Transit,,TOI-620 b,5.0988179,3.76
1770,Transit,1242.7153,KELT-21 b,3.6127647,17.777
1771,Transit,17.4,Kepler-595 b,25.3029092,3.708
1772,Transit,,Kepler-1954 b,5.88343,1.802
1773,Transit,,Kepler-281 b,14.646008,2.82
1774,Transit,6.28,TOI-1201 b,2.4919863,2.415
1775,Transit,,Kepler-410 A b,17.833648,2.838
1776,Imaging,5085.25451,VHS J125601.92-125723.9 b,5800000.0,13.675
1777,Transit,,TOI-942 b,4.32421,3.89
1778,Transit,,TOI-942 c,10.156272,4.67
1779,Transit,130.9453,TOI-5344 b,3.792622,10.604
1780,Imaging,5117.03735,HIP 99770 b,18600.0,
1781,Transit,,Kepler-1990 b,1.73513619,3.27
1782,Transit,,Kepler-1945 b,6.08003998,1.289
1783,Transit,390.9309,WASP-119 b,2.49979,15.693
